feature,mean_abs_shap,model
證照,3.1645799,XGBoost_1A_屬性模型
3000-4000,0.36223847,XGBoost_1A_屬性模型
線上,0.28939694,XGBoost_1A_屬性模型
4000-5000,0.23510918,XGBoost_1A_屬性模型
5000以上,0.13870855,XGBoost_1A_屬性模型
性別編,0.13793536,XGBoost_1A_屬性模型
興趣_國貿實務,0.098890014,XGBoost_1A_屬性模型
興趣_商業語文,0.08431249,XGBoost_1A_屬性模型
興趣_線上課程(直播),0.074009776,XGBoost_1A_屬性模型
興趣_專業證照,0.07064098,XGBoost_1A_屬性模型
職稱_運務,0.07025181,XGBoost_1A_屬性模型
興趣_國際市場,0.06925895,XGBoost_1A_屬性模型
興趣_網路電商,0.05526275,XGBoost_1A_屬性模型
職稱_業務,0.05030158,XGBoost_1A_屬性模型
興趣_產業趨勢動態,0.04998554,XGBoost_1A_屬性模型
晚上,0.04691795,XGBoost_1A_屬性模型
興趣_會員免費課程,0.044209376,XGBoost_1A_屬性模型
職稱_行政,0.042065963,XGBoost_1A_屬性模型
數位,0.04171245,XGBoost_1A_屬性模型
職稱_管理,0.039116517,XGBoost_1A_屬性模型
興趣_線上課程(影片),0.036657933,XGBoost_1A_屬性模型
實體,0.033721063,XGBoost_1A_屬性模型
興趣_企業管理,0.028700596,XGBoost_1A_屬性模型
興趣_高階策略,0.026464676,XGBoost_1A_屬性模型
興趣_創意與服務,0.012675214,XGBoost_1A_屬性模型
興趣_商業談判與溝通,0.011899003,XGBoost_1A_屬性模型
興趣_財務會計,0.006810358,XGBoost_1A_屬性模型
白天,0.006675616,XGBoost_1A_屬性模型
職稱_財會,0.00666411,XGBoost_1A_屬性模型
興趣_中國大陸市場,0.0044123963,XGBoost_1A_屬性模型
一週一次,0.0,XGBoost_1A_屬性模型
職稱_非在職,0.0,XGBoost_1A_屬性模型
職稱_學生,0.0,XGBoost_1A_屬性模型
職稱_教育,0.0,XGBoost_1A_屬性模型
實務,0.0,XGBoost_1A_屬性模型
語言,0.0,XGBoost_1A_屬性模型
稅務,0.0,XGBoost_1A_屬性模型
一週兩次,0.0,XGBoost_1A_屬性模型
興趣_幸福人生,0.0,XGBoost_1A_屬性模型
證照,3.1641748,XGBoost_1B_課程Dummy模型
課程_2,0.30067918,XGBoost_1B_課程Dummy模型
4000-5000,0.25765127,XGBoost_1B_課程Dummy模型
線上,0.23444843,XGBoost_1B_課程Dummy模型
性別編,0.15877634,XGBoost_1B_課程Dummy模型
5000以上,0.14411318,XGBoost_1B_課程Dummy模型
興趣_國貿實務,0.09866152,XGBoost_1B_課程Dummy模型
興趣_國際市場,0.07763127,XGBoost_1B_課程Dummy模型
興趣_商業語文,0.076610446,XGBoost_1B_課程Dummy模型
興趣_專業證照,0.06891718,XGBoost_1B_課程Dummy模型
職稱_業務,0.06567723,XGBoost_1B_課程Dummy模型
興趣_線上課程(直播),0.06129772,XGBoost_1B_課程Dummy模型
職稱_運務,0.05969453,XGBoost_1B_課程Dummy模型
興趣_網路電商,0.05826888,XGBoost_1B_課程Dummy模型
興趣_產業趨勢動態,0.05385937,XGBoost_1B_課程Dummy模型
興趣_會員免費課程,0.049823046,XGBoost_1B_課程Dummy模型
職稱_行政,0.04562675,XGBoost_1B_課程Dummy模型
課程_8,0.045585584,XGBoost_1B_課程Dummy模型
興趣_線上課程(影片),0.039551217,XGBoost_1B_課程Dummy模型
職稱_管理,0.035294075,XGBoost_1B_課程Dummy模型
課程_7,0.034630556,XGBoost_1B_課程Dummy模型
3000-4000,0.034582797,XGBoost_1B_課程Dummy模型
興趣_企業管理,0.033404537,XGBoost_1B_課程Dummy模型
興趣_高階策略,0.027664836,XGBoost_1B_課程Dummy模型
興趣_創意與服務,0.017839605,XGBoost_1B_課程Dummy模型
實體,0.017172238,XGBoost_1B_課程Dummy模型
興趣_商業談判與溝通,0.008808893,XGBoost_1B_課程Dummy模型
數位,0.00654408,XGBoost_1B_課程Dummy模型
職稱_財會,0.0059036417,XGBoost_1B_課程Dummy模型
興趣_財務會計,0.0054405043,XGBoost_1B_課程Dummy模型
興趣_中國大陸市場,0.0022833794,XGBoost_1B_課程Dummy模型
白天,0.0,XGBoost_1B_課程Dummy模型
晚上,0.0,XGBoost_1B_課程Dummy模型
課程_6,0.0,XGBoost_1B_課程Dummy模型
課程_3,0.0,XGBoost_1B_課程Dummy模型
課程_4,0.0,XGBoost_1B_課程Dummy模型
課程_5,0.0,XGBoost_1B_課程Dummy模型
一週一次,0.0,XGBoost_1B_課程Dummy模型
職稱_非在職,0.0,XGBoost_1B_課程Dummy模型
職稱_學生,0.0,XGBoost_1B_課程Dummy模型
職稱_教育,0.0,XGBoost_1B_課程Dummy模型
實務,0.0,XGBoost_1B_課程Dummy模型
語言,0.0,XGBoost_1B_課程Dummy模型
稅務,0.0,XGBoost_1B_課程Dummy模型
一週兩次,0.0,XGBoost_1B_課程Dummy模型
興趣_幸福人生,0.0,XGBoost_1B_課程Dummy模型
